zip5,indi_bern,indi_hill,count_bern,count_hill,amt_bern,amt_hill
98188,14.0,7.0,123.0,80.0,6011.0,2809.0
98189,1.0,0.0,1.0,0.0,200.0,0.0
98195,5.0,0.0,100.0,0.0,2112.0,0.0
98198,47.0,15.0,565.0,51.0,25480.0,8692.0
98199,117.0,73.0,1368.0,196.0,93879.0,51020.0
98201,65.0,10.0,817.0,22.0,37843.0,1365.0
98203,63.0,8.0,638.0,30.0,47375.0,1961.0
98204,29.0,7.0,247.0,42.0,11987.0,3039.0
98206,7.0,1.0,297.0,1.0,2537.0,25.0
98208,75.0,13.0,835.0,86.0,52945.0,3559.0
98213,1.0,0.0,14.0,0.0,650.0,0.0
98220,3.0,1.0,6.0,3.0,223.0,300.0
98221,100.0,13.0,1070.0,38.0,53192.0,2526.0
98223,57.0,7.0,498.0,71.0,30897.0,1510.0
98224,0.0,1.0,0.0,17.0,0.0,357.0
98225,267.0,45.0,2762.0,231.0,142126.0,17030.0
98226,144.0,17.0,1177.0,40.0,66124.0,8520.0
98227,19.0,2.0,304.0,3.0,8326.0,100.0
98228,10.0,1.0,46.0,6.0,5459.0,2100.0
98229,158.0,28.0,1674.0,129.0,86720.0,11666.0
98230,35.0,7.0,408.0,38.0,18477.0,1655.0
98231,5.0,0.0,18.0,0.0,4266.0,0.0
98232,22.0,2.0,202.0,24.0,14368.0,282.0
98233,17.0,2.0,193.0,7.0,15953.0,169.0
98235,4.0,0.0,17.0,0.0,1980.0,0.0
98236,47.0,10.0,719.0,21.0,29778.0,3010.0
98237,11.0,0.0,81.0,0.0,2010.0,0.0
98238,2.0,0.0,12.0,0.0,2314.0,0.0
98239,42.0,9.0,622.0,26.0,26554.0,1342.0
98240,3.0,0.0,9.0,0.0,650.0,0.0
98241,3.0,1.0,6.0,5.0,199.0,125.0
98243,7.0,0.0,27.0,0.0,1205.0,0.0
98244,21.0,2.0,330.0,11.0,16901.0,256.0
98245,45.0,3.0,541.0,5.0,24426.0,3085.0
98247,18.0,1.0,182.0,1.0,7245.0,50.0
98248,38.0,6.0,280.0,39.0,12550.0,1030.0
98249,36.0,9.0,384.0,27.0,16431.0,2479.0
98250,81.0,9.0,779.0,18.0,52747.0,1440.0
98251,7.0,0.0,47.0,0.0,3101.0,0.0
98252,3.0,0.0,33.0,0.0,540.0,0.0
98253,12.0,3.0,54.0,10.0,3125.0,1145.0
98256,3.0,0.0,8.0,0.0,238.0,0.0
98257,24.0,6.0,258.0,18.0,13914.0,6345.0
98258,52.0,9.0,600.0,41.0,27286.0,2015.0
98260,54.0,15.0,767.0,60.0,25114.0,7596.0
98261,28.0,4.0,349.0,8.0,21572.0,1110.0
98262,23.0,1.0,312.0,1.0,13659.0,25.0
98264,14.0,4.0,157.0,20.0,8162.0,262.0
98266,8.0,1.0,32.0,28.0,844.0,250.0
98270,31.0,11.0,479.0,38.0,16741.0,1780.0
98271,32.0,4.0,446.0,5.0,24270.0,3210.0
98272,33.0,6.0,486.0,19.0,25834.0,805.0
98273,49.0,12.0,394.0,73.0,33994.0,5048.0
